geo,year,saving,headline_infl,energy_infl
AT,2014,13.27,1.4666666666666668,-2.191666666666667
BE,2014,12.63,0.4916666666666667,-6.066666666666666
CZ,2014,12.16,0.4083333333333334,-3.8000000000000003
DE,2014,17.07,0.7583333333333333,-2.066666666666667
DK,2014,1.21,0.35000000000000003,-0.21666666666666665
EE,2014,6.5,0.47500000000000003,-4.008333333333334
EL,2014,-3.48,-1.3833333333333335,-2.025
ES,2014,6.98,-0.19166666666666668,-0.7666666666666667
FI,2014,8.41,1.2333333333333334,-1.75
FR,2014,14.15,0.6166666666666667,-0.8249999999999998
HU,2014,13.06,0.025000000000000005,-6.583333333333333
IE,2014,11.51,0.3,-1.4333333333333333
IT,2014,11.8,0.2333333333333333,-2.975
LT,2014,-1.69,0.25,-3.975
LV,2014,0.53,0.6833333333333335,-2.0083333333333333
NL,2014,14.35,0.325,-1.4749999999999999
PL,2014,7.77,0.08333333333333333,-1.1666666666666667
PT,2014,6.58,-0.15833333333333333,-1.4916666666666665
SE,2014,15.89,0.20833333333333334,-2.0416666666666665
SI,2014,11.4,0.35833333333333334,-1.375
SK,2014,8.38,-0.09166666666666667,-2.225
AT,2015,13.02,0.8166666666666668,-7.533333333333334
BE,2015,11.59,0.6416666666666667,-7.883333333333333
CZ,2015,11.08,0.25833333333333336,-2.9916666666666667
DE,2015,17.24,0.6749999999999999,-6.983333333333333
DK,2015,8.37,0.225,-6.883333333333333
EE,2015,8.4,0.06666666666666667,-7.058333333333334
EL,2015,-1.63,-1.0999999999999999,-11.0
ES,2015,7.93,-0.625,-8.958333333333334
FI,2015,8.23,-0.15,-6.008333333333333
FR,2015,13.61,0.08333333333333333,-4.5
HU,2015,12.81,0.06666666666666667,-7.391666666666667
IE,2015,12.82,-0.03333333333333333,-8.183333333333334
IT,2015,11.1,0.10833333333333334,-6.7749999999999995
LT,2015,-0.99,-0.6583333333333333,-11.825000000000001
LV,2015,3.53,0.21666666666666665,-2.8833333333333333
NL,2015,13.98,0.20833333333333334,-5.533333333333334
PL,2015,6.49,-0.7000000000000001,-4.883333333333334
PT,2015,7.47,0.5083333333333333,-3.6833333333333336
SE,2015,13.67,0.6916666666666668,-4.658333333333333
SI,2015,11.76,-0.7583333333333333,-7.758333333333333
SK,2015,9.36,-0.3416666666666666,-3.9583333333333335
AT,2016,13.74,0.975,-4.55
BE,2016,11.47,1.75,-0.5916666666666667
CZ,2016,10.44,0.65,-2.5500000000000003
DE,2016,17.15,0.3666666666666667,-5.3500000000000005
DK,2016,8.87,0.016666666666666677,-3.275
EE,2016,7.44,0.8166666666666668,-3.65
EL,2016,-2.24,0.008333333333333331,-5.075
ES,2016,7.71,-0.35000000000000003,-8.4
FI,2016,7.75,0.3833333333333333,-3.625
FR,2016,13.41,0.30833333333333335,-2.5083333333333333
HU,2016,12.54,0.4583333333333333,-3.658333333333333
IE,2016,12.53,-0.20833333333333334,-6.125
IT,2016,11.21,-0.05000000000000001,-5.4750000000000005
LT,2016,1.89,0.6916666666666668,-7.058333333333334
LV,2016,4.61,0.10833333333333334,-6.866666666666667
NL,2016,15.1,0.09999999999999999,-5.491666666666667
PL,2016,8.05,-0.19166666666666665,-3.6750000000000003
PT,2016,7.3,0.6416666666666667,-1.7833333333333334
SE,2016,14.94,1.125,1.0916666666666666
SI,2016,12.1,-0.15833333333333335,-5.1000000000000005
SK,2016,9.56,-0.47500000000000003,-3.533333333333333
AT,2017,12.82,2.225,2.891666666666667
BE,2017,11.11,2.2333333333333334,10.1
CZ,2017,10.77,2.441666666666667,1.2
DE,2017,17.57,1.7083333333333333,3.0749999999999997
DK,2017,9.59,1.0583333333333333,1.4083333333333334
EE,2017,8.0,3.641666666666667,5.533333333333334
EL,2017,-4.26,1.1416666666666666,8.591666666666667
ES,2017,6.3,2.033333333333333,8.208333333333334
FI,2017,8.52,0.8416666666666667,5.825
FR,2017,13.67,1.1666666666666667,6.108333333333333
HU,2017,12.93,2.4,4.258333333333334
IE,2017,14.64,0.25833333333333336,3.9583333333333335
IT,2017,10.87,1.325,4.575
LT,2017,-3.97,3.716666666666667,4.708333333333333
LV,2017,5.64,2.908333333333333,4.116666666666666
NL,2017,12.92,1.2833333333333334,3.6166666666666667
PL,2017,5.49,1.6166666666666665,2.9
PT,2017,6.54,1.55,3.716666666666667
SE,2017,14.08,1.8666666666666665,5.3500000000000005
SI,2017,12.98,1.5583333333333333,4.7250000000000005
SK,2017,7.39,1.3916666666666666,-2.4916666666666667
AT,2018,13.41,2.1083333333333334,5.325
BE,2018,10.87,2.308333333333333,8.950000000000001
CZ,2018,11.53,1.95,3.1666666666666665
DE,2018,18.2,1.9416666666666667,4.933333333333334
DK,2018,9.5,0.7166666666666667,3.033333333333333
EE,2018,10.94,3.408333333333333,9.325000000000001
EL,2018,-7.01,0.7833333333333333,3.9166666666666665
ES,2018,6.1,1.7249999999999999,6.191666666666666
FI,2018,9.26,1.1583333333333334,4.6000000000000005
FR,2018,13.54,2.1,9.591666666666667
HU,2018,15.3,2.908333333333333,4.816666666666667
IE,2018,12.53,0.7166666666666667,7.158333333333334
IT,2018,10.63,1.2583333333333333,5.708333333333333
LT,2018,-2.65,2.5416666666666665,6.5249999999999995
LV,2018,6.78,2.558333333333333,7.208333333333333
NL,2018,13.58,1.6083333333333334,8.191666666666666
PL,2018,4.98,1.1916666666666667,3.725
PT,2018,6.94,1.1583333333333334,4.833333333333333
SE,2018,15.17,2.0500000000000003,9.633333333333333
SI,2018,13.58,1.925,6.066666666666666
SK,2018,10.24,2.5416666666666665,2.9666666666666663
AT,2019,13.04,1.4916666666666665,0.7416666666666667
BE,2019,12.12,1.2666666666666666,-0.5833333333333333
CZ,2019,11.88,2.5833333333333335,4.766666666666667
DE,2019,17.93,1.3583333333333334,1.4583333333333333
DK,2019,7.91,0.7416666666666667,-0.3
EE,2019,10.12,2.2583333333333333,1.8083333333333333
EL,2019,-2.42,0.5166666666666667,-0.25833333333333336
ES,2019,8.61,0.7666666666666667,-1.0999999999999999
FI,2019,11.05,1.125,3.1
FR,2019,14.24,1.3083333333333333,1.883333333333333
HU,2019,16.17,3.4166666666666665,0.5750000000000001
IE,2019,13.85,0.8833333333333333,1.1583333333333334
IT,2019,10.42,0.65,0.6
LT,2019,1.73,2.225,-0.6333333333333333
LV,2019,8.63,2.75,3.0416666666666665
NL,2019,15.84,2.6750000000000003,7.766666666666667
PL,2019,6.18,2.1166666666666667,0.016666666666666663
PT,2019,7.0,0.3,-1.6833333333333333
SE,2019,17.02,1.7249999999999999,3.0583333333333336
SI,2019,13.43,1.7,0.8333333333333334
SK,2019,9.76,2.775,4.233333333333333
AT,2020,19.15,1.4000000000000001,-5.883333333333333
BE,2020,19.07,0.425,-10.958333333333334
CZ,2020,18.73,3.283333333333333,-1.4666666666666668
DE,2020,23.24,0.3583333333333334,-4.5
DK,2020,9.16,0.3416666666666666,-5.433333333333334
EE,2020,12.96,-0.6166666666666667,-7.3999999999999995
EL,2020,0.65,-1.25,-9.691666666666666
ES,2020,17.62,-0.3333333333333333,-9.608333333333333
FI,2020,14.46,0.39999999999999997,-4.883333333333334
FR,2020,20.03,0.5416666666666666,-6.016666666666667
HU,2020,16.37,3.375,-3.0666666666666664
IE,2020,25.82,-0.4666666666666666,-4.933333333333334
IT,2020,17.78,-0.15,-8.616666666666667
LT,2020,11.69,1.0833333333333333,-10.375
LV,2020,14.08,0.09166666666666666,-7.158333333333334
NL,2020,21.98,1.1333333333333333,-9.066666666666666
PL,2020,12.79,3.6666666666666665,-0.9416666666666668
PT,2020,12.05,-0.125,-5.158333333333333
SE,2020,17.68,0.6583333333333333,-8.791666666666666
SI,2020,22.56,-0.25,-10.758333333333333
SK,2020,11.7,2.0083333333333333,1.850371707708594e-17
AT,2021,17.25,2.766666666666666,11.058333333333332
BE,2021,16.64,3.225,22.825
CZ,2021,19.57,3.3083333333333336,1.7166666666666668
DE,2021,21.99,3.225,10.275
DK,2021,6.79,1.95,11.733333333333334
EE,2021,8.37,4.491666666666667,18.883333333333333
EL,2021,4.43,0.5833333333333334,12.933333333333332
ES,2021,14.26,3.0083333333333333,21.541666666666668
FI,2021,12.48,2.0749999999999997,9.858333333333334
FR,2021,18.67,2.0749999999999997,10.799999999999999
HU,2021,18.22,5.208333333333333,12.591666666666667
IE,2021,21.42,2.4499999999999997,12.633333333333333
IT,2021,15.79,1.9583333333333333,14.65
LT,2021,10.22,4.625,16.033333333333335
LV,2021,10.44,3.25,10.958333333333334
NL,2021,19.02,2.8249999999999997,17.516666666666666
PL,2021,5.1,5.208333333333333,12.316666666666668
PT,2021,10.95,0.9416666666666668,7.658333333333334
SE,2021,17.64,2.65,15.408333333333331
SI,2021,16.98,2.0416666666666665,11.958333333333334
SK,2021,11.39,2.8166666666666664,0.07500000000000002
AT,2022,15.24,8.591666666666667,39.550000000000004
BE,2022,12.9,10.316666666666666,59.03333333333333
CZ,2022,18.2,14.783333333333333,31.474999999999998
DE,2022,18.9,8.633333333333333,34.525
DK,2022,11.09,8.516666666666667,41.583333333333336
EE,2022,1.99,19.375,65.93333333333334
EL,2022,-4.99,9.291666666666666,42.550000000000004
ES,2022,8.98,8.341666666666667,29.150000000000002
FI,2022,10.01,7.158333333333334,30.933333333333334
FR,2022,16.51,5.8999999999999995,23.941666666666666
HU,2022,15.99,15.158333333333333,18.408333333333335
IE,2022,14.58,8.049999999999999,41.1
IT,2022,11.39,8.716666666666667,50.65
LT,2022,4.81,18.791666666666668,56.166666666666664
LV,2022,3.84,17.141666666666666,48.291666666666664
NL,2022,14.43,11.616666666666667,71.78333333333333
PL,2022,1.02,13.158333333333333,29.366666666666664
PT,2022,7.33,8.075000000000001,23.741666666666664
SE,2022,15.77,8.033333333333333,31.366666666666664
SI,2022,13.95,9.299999999999999,24.816666666666666
SK,2022,6.02,12.108333333333334,18.783333333333335
AT,2023,14.75,7.791666666666667,8.216666666666667
BE,2023,14.02,2.341666666666667,-27.708333333333332
CZ,2023,20.55,12.141666666666666,26.041666666666668
DE,2023,19.25,6.108333333333333,5.783333333333334
DK,2023,14.73,3.4416666666666664,-10.966666666666667
EE,2023,3.55,9.433333333333334,4.966666666666667
EL,2023,-2.44,4.2,-12.908333333333333
ES,2023,11.68,3.4333333333333336,-15.616666666666667
FI,2023,10.94,4.391666666666667,-1.2166666666666666
FR,2023,16.72,5.683333333333334,5.883333333333333
HU,2023,20.61,17.541666666666668,20.058333333333334
IE,2023,11.81,5.241666666666666,6.45
IT,2023,11.35,6.016666666666667,3.6749999999999994
LT,2023,5.66,8.983333333333333,-2.375
LV,2023,1.75,9.516666666666667,8.15
NL,2023,14.77,4.216666666666667,-22.066666666666666
PL,2023,4.72,11.008333333333333,11.616666666666667
PT,2023,8.92,5.325,-8.483333333333333
SE,2023,16.96,5.983333333333333,-10.216666666666667
SI,2023,14.68,7.283333333333334,2.6833333333333336
SK,2023,7.67,11.091666666666667,7.45
AT,2024,17.34,2.9250000000000003,-5.383333333333333
BE,2024,12.92,4.316666666666667,10.958333333333334
CZ,2024,19.86,2.6916666666666664,2.9583333333333335
DE,2024,20.04,2.4833333333333334,-3.1833333333333336
DK,2024,14.29,1.2750000000000001,0.5166666666666665
EE,2024,7.3,3.75,-2.5500000000000003
EL,2024,-2.51,3.0083333333333333,-1.3416666666666668
ES,2024,12.74,2.875,0.9833333333333334
FI,2024,12.42,0.9750000000000001,-7.933333333333334
FR,2024,17.93,2.3249999999999997,2.2666666666666666
HU,2024,19.04,3.716666666666667,-1.8
IE,2024,13.49,1.3333333333333333,-7.7
IT,2024,11.21,1.075,-9.791666666666666
LT,2024,7.63,0.8583333333333334,-9.458333333333334
LV,2024,4.94,1.3666666666666665,-9.283333333333333
NL,2024,16.54,3.225,0.17499999999999996
PL,2024,7.77,3.65,1.8833333333333335
PT,2024,12.53,2.6750000000000003,3.2416666666666667
SE,2024,18.7,2.0,-8.483333333333333
SI,2024,13.31,2.0083333333333333,-2.1
SK,2024,8.06,3.141666666666667,-0.9166666666666666
DE,2025,19.2,2.2666666666666666,-2.2666666666666666
DK,2025,14.32,1.825,-1.3166666666666667
FI,2025,12.42,1.8083333333333333,-3.6750000000000003
IT,2025,11.01,1.6416666666666666,-2.275
NL,2025,17.32,2.983333333333333,-0.10833333333333332
PT,2025,12.13,2.1999999999999997,-0.19999999999999996
SE,2025,17.1,2.6083333333333334,1.8583333333333334
